Id_A,Iq_A,diff_rad_s,pll_rad_s
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
0.026353,0.283947,0.000000,-0.001056
